Cluster,RNA Sequence
Cluster 161,rna-XM_040702157.2.5
Cluster 162,rna-XM_040707162.1.16
Cluster 163,rna-XM_004949045.5.6
Cluster 164,rna-XM_015281125.4.62
Cluster 165,rna-XM_025144510.3.11
Cluster 166,rna-XM_004941715.5.5
Cluster 167,rna-XM_025155534.3.22
Cluster 168,rna-XM_015275419.4.22
Cluster 169,rna-XM_040655341.1.6
Cluster 170,rna-NM_001397796.1.17
Cluster 171,rna-XM_012577742.4.7
Cluster 172,rna-XM_015301733.4.2
Cluster 173,rna-XM_015282473.4.1
Cluster 174,rna-XM_040658260.2.4
Cluster 175,rna-XM_030272221.3.3
Cluster 176,rna-XM_040706785.2.31
Cluster 177,rna-XM_032743815.2.4
Cluster 178,rna-XM_004946655.5.18
Cluster 179,rna-XM_030289425.3.46
Cluster 180,rna-NM_001199546.3.48
Cluster 181,rna-XM_003642983.6.6
Cluster 182,rna-XM_046939726.1.23
Cluster 183,rna-XM_030268934.3.49
Cluster 184,rna-NM_205155.4.76
Cluster 185,rna-XM_030263494.3.30
Cluster 186,rna-XM_030271833.3.3
Cluster 187,rna-XM_015279607.4.17
Cluster 188,rna-XM_046901623.1.17
Cluster 189,rna-XM_030279916.3.12
Cluster 190,rna-XM_015277621.3.6
Cluster 191,rna-XM_030257195.3.4
Cluster 192,rna-XM_041719431.1.26
Cluster 193,rna-XM_015284718.4.3
Cluster 194,rna-NM_001198712.2.35
Cluster 195,rna-XM_046901153.1.22
Cluster 196,rna-XM_030282145.3.20
Cluster 197,rna-XM_015294622.4.15
Cluster 198,rna-XM_030267984.3.2
Cluster 199,rna-NM_001171771.2.84
Cluster 200,rna-NM_001397216.1.66
Cluster 201,rna-XM_030287809.3.27
Cluster 202,rna-XM_030287696.3.29
Cluster 203,rna-XM_004945972.5.17
Cluster 204,rna-XM_004941319.5.53
Cluster 205,rna-XM_004937710.5.4
Cluster 206,rna-XM_041715909.1.3
Cluster 207,rna-XM_420305.8.33
Cluster 208,rna-XM_040647530.2.15
Cluster 209,rna-XM_040706022.2.12
Cluster 210,rna-XM_041717838.1.9
Cluster 211,rna-XM_041717047.1.8
Cluster 212,rna-XM_012568975.4.4
Cluster 213,rna-XM_015294424.4.15
Cluster 214,rna-XM_003641831.6.14
Cluster 215,rna-NM_001252033.2.32
Cluster 216,rna-NM_001012832.3.38
Cluster 217,rna-XM_030288951.3.89
Cluster 218,rna-XM_040648481.2.22
Cluster 219,rna-XM_015286286.4.142
Cluster 220,rna-XM_015279106.4.21
Cluster 221,rna-XM_015276095.4.3
Cluster 222,rna-XM_030279470.3.9
Cluster 223,rna-XM_041711311.1.28
Cluster 224,rna-XM_041718457.1.48
Cluster 225,rna-XM_046938672.1.80
Cluster 226,rna-XM_003641641.6.8
Cluster 227,rna-XM_015287571.4.5
Cluster 228,rna-XM_041717409.1.25
Cluster 229,rna-XM_015280884.4.4
Cluster 230,rna-XM_046902304.1.18
Cluster 231,rna-XM_415805.8.18
Cluster 232,rna-XM_015290703.4.10
Cluster 233,rna-XM_030276089.3.8
Cluster 234,rna-XM_015298717.4.81
Cluster 235,rna-XM_004944099.5.21
Cluster 236,rna-NM_001379114.2.2
Cluster 237,rna-XM_002189523.6.2
Cluster 238,rna-XM_046938527.1.3
Cluster 239,rna-XM_046944708.1.10
Cluster 240,rna-XM_030264415.3.1
Cluster 241,rna-XM_030264565.3.5
Cluster 242,rna-XM_030283201.3.13
Cluster 243,rna-XM_040655489.2.26
Cluster 244,rna-XM_030286885.3.24
Cluster 245,rna-XM_030285531.3.60
Cluster 246,rna-NM_001389399.2.2
Cluster 247,rna-XM_040646805.1.37
Cluster 248,rna-XM_041713786.1.4
Cluster 249,rna-XM_015283735.4.39
Cluster 250,rna-XM_040651931.2.118
Cluster 251,rna-XM_030264927.3.110
Cluster 252,rna-XM_025149175.3.23
Cluster 253,rna-XM_030285212.3.16
Cluster 254,rna-XM_015287643.4.5
Cluster 255,rna-XM_030286464.3.24
Cluster 256,rna-XM_040703169.2.99
Cluster 257,rna-NM_001277825.2.36
Cluster 258,rna-XM_030257516.3.22
Cluster 259,rna-XM_420193.8.61
Cluster 260,rna-XM_030268419.3.5
Cluster 261,rna-XM_030269814.3.2
Cluster 262,rna-XM_025146919.3.2
Cluster 263,rna-XM_415819.7.18
Cluster 264,rna-XM_030256945.3.93
Cluster 265,rna-XM_004943175.5.32
Cluster 266,rna-XM_040695443.2.1
Cluster 267,rna-XM_004939445.5.1
Cluster 268,rna-XM_030265366.3.1
Cluster 269,rna-XM_025153623.3.12
Cluster 270,rna-XM_041719372.1.26
Cluster 271,rna-NM_001256543.3.1
Cluster 272,rna-XM_015298655.4.105
Cluster 273,rna-XM_015294868.4.22
Cluster 274,rna-NM_001396663.1.22
Cluster 275,rna-XM_046907892.1.4
Cluster 276,rna-XM_015300059.4.70
Cluster 277,rna-XM_015277010.4.12
Cluster 278,rna-XM_041718790.1.13
Cluster 279,rna-XM_046903648.1.51
Cluster 280,rna-XM_030259701.3.4
Cluster 281,rna-XM_030258041.3.7
Cluster 282,rna-XM_030281081.3.19
Cluster 283,rna-XM_046899754.1.13
Cluster 284,rna-XM_040650504.2.18
Cluster 285,rna-XM_040705965.2.12
Cluster 286,rna-XM_041714694.1.1
Cluster 287,rna-NM_001397702.1.52
Cluster 288,rna-XM_004934335.5.22
Cluster 289,rna-XM_025144978.3.6
Cluster 290,rna-XM_030287291.3.55
Cluster 291,rna-XM_030276348.3.5
Cluster 292,rna-XM_041718263.1.32
Cluster 293,rna-XM_030266056.3.1
Cluster 294,rna-XM_030266626.3.5
Cluster 295,rna-XM_015278409.4.61
Cluster 296,rna-XM_041712976.1.479
Cluster 297,rna-XM_040703668.2.8
Cluster 298,rna-XM_040698263.2.20
Cluster 299,rna-XM_041717310.1.25
Cluster 300,rna-XM_030265656.3.1
Cluster 301,rna-XM_012577414.4.16
Cluster 302,rna-XM_030268277.3.2
Cluster 303,rna-XM_015291978.4.14
Cluster 304,rna-NM_204873.3.52
Cluster 305,rna-XM_030275321.3.6
Cluster 306,rna-NM_001318981.2.1
Cluster 307,rna-XM_030261048.3.3
Cluster 308,rna-XM_040650116.2.18
Cluster 309,rna-XM_012577745.3.7
Cluster 310,rna-XM_030273744.3.6
Cluster 311,rna-XM_040699392.2.24
Cluster 312,rna-XM_046942416.1.5
Cluster 313,rna-XM_041720513.1.47
Cluster 314,rna-XM_041716799.1.6
Cluster 315,rna-XM_025145729.3.214
Cluster 316,rna-XM_004945480.5.50
Cluster 317,rna-XM_041715496.1.2
Cluster 318,rna-XM_040646478.2.42
Cluster 319,rna-XM_426482.7.71
Cluster 320,rna-XM_030276984.3.69
Cluster 321,rna-XM_040705378.2.10
Cluster 322,rna-XM_046941371.1.5
Cluster 323,rna-XM_046939401.1.223
Cluster 324,rna-XM_041717054.1.8
Cluster 325,rna-XM_040656265.2.6
Cluster 326,rna-XM_030270397.3.3
Cluster 327,rna-XM_041721518.1.67
Cluster 328,rna-XM_046904269.1.59
Cluster 329,rna-XM_040704242.2.8
Cluster 330,rna-XM_041720521.1.47
Cluster 331,rna-XM_041721330.1.44
Cluster 332,rna-XM_015283321.4.3
Cluster 333,rna-XM_030272555.3.17
Cluster 334,rna-XM_032747804.2.2
Cluster 335,rna-XM_004934403.5.22
Cluster 336,rna-XM_004948525.5.57
Cluster 337,rna-XM_030286512.3.24
Cluster 338,rna-XM_040700928.2.5
Cluster 339,rna-XM_040703092.2.9
Cluster 340,rna-XM_040702051.2.5
Cluster 341,rna-XM_041716319.1.6
Cluster 342,rna-XM_025149416.3.39
Cluster 343,rna-XM_030257397.3.7
Cluster 344,rna-XM_004937064.5.12
Cluster 345,rna-XM_015296845.4.49
Cluster 346,rna-XM_030267071.3.1
Cluster 347,rna-XM_015276223.3.56
Cluster 348,rna-XM_015289711.4.8
Cluster 349,rna-XM_040702697.2.9
Cluster 350,rna-XM_030274591.3.6
Cluster 351,rna-XM_420592.8.97
Cluster 352,rna-XM_030265021.3.1
Cluster 353,rna-XM_030258831.3.7
Cluster 354,rna-XM_030286557.3.24
Cluster 355,rna-NM_001396617.1.77
Cluster 356,rna-NM_001396028.1.105
Cluster 357,rna-XM_041713741.1.4
Cluster 358,rna-XM_030268516.3.50
Cluster 359,rna-XM_030288711.3.18
Cluster 360,rna-XM_041719210.1.16
Cluster 361,rna-XM_041711237.1.22
Cluster 362,rna-XM_041712611.1.6006
Cluster 363,rna-XM_041712143.1.21682
Cluster 364,rna-XM_015289316.4.8
Cluster 365,rna-XM_030290905.3.31
Cluster 366,rna-XM_040696457.2.1
Cluster 367,rna-XM_040675933.2.1
Cluster 368,rna-XM_040649679.2.28
Cluster 369,rna-XM_030283480.3.13
Cluster 370,rna-XM_046907653.1.4
Cluster 371,rna-XM_041714203.1.1
Cluster 372,rna-XM_004942070.5.9
Cluster 373,rna-XM_015296254.4.87
Cluster 374,rna-XM_004937544.4.4
Cluster 375,rna-XM_004942787.4.8
Cluster 376,rna-XM_041715091.1.2
Cluster 377,rna-XM_416176.5.4
Cluster 378,rna-XM_046944097.1.8
Cluster 379,rna-XM_025152557.3.8
Cluster 380,rna-XM_424402.8.58
Cluster 381,rna-NM_001030661.1.22
Cluster 382,rna-XM_030268013.3.2
Cluster 383,rna-NM_205474.2.63
Cluster 384,rna-XM_422062.7.8
Cluster 385,rna-XM_015281382.3.1
Cluster 386,rna-XM_040706366.2.14
Cluster 387,rna-XM_030290005.3.47
Cluster 388,rna-XM_046938082.1.1
Cluster 389,rna-XM_030284240.3.5
Cluster 390,rna-XM_046943463.1.8
Cluster 391,rna-XM_004938823.5.2
Cluster 392,rna-NM_001004408.3.10
Cluster 393,rna-XM_416097.8.4
Cluster 394,rna-XM_030269167.3.2
Cluster 395,rna-XM_030263820.3.30
Cluster 396,rna-XM_030276812.3.8
Cluster 397,rna-XM_030287634.3.29
Cluster 398,rna-XM_046901187.1.22
Cluster 399,rna-XM_025147886.3.1
Cluster 400,rna-XM_041714153.1.1
Cluster 401,rna-NM_205274.3.68
Cluster 402,rna-XM_046898914.1.14
Cluster 403,rna-XM_003643112.6.100
Cluster 404,rna-XM_030279474.3.9
Cluster 405,rna-XM_046899079.1.14
Cluster 406,rna-XM_025146947.3.104
Cluster 407,rna-XM_004940140.5.80
Cluster 408,rna-XM_040696565.1.1
Cluster 409,rna-XM_040657596.2.2
Cluster 410,rna-XM_025151283.3.5
Cluster 411,rna-XM_041712192.1.208
Cluster 412,rna-NM_001285869.2.14
Cluster 413,rna-XM_030286453.3.24
Cluster 414,rna-XM_041715330.1.23
Cluster 415,rna-NM_001322361.3.8
Cluster 416,rna-XM_046942231.1.5
Cluster 417,rna-XM_046924106.1.4
Cluster 418,rna-XM_012572899.4.2
Cluster 419,rna-XM_004935888.5.40
Cluster 420,rna-XM_030289545.3.46
Cluster 421,rna-XM_012573203.4.36
Cluster 422,rna-XM_004943995.5.14
Cluster 423,rna-XM_046905887.1.6
Cluster 424,rna-XM_004946221.5.28
Cluster 425,rna-XM_030269011.3.2
Cluster 426,rna-XM_030268667.3.23
Cluster 427,rna-XM_041711028.1.7
Cluster 428,rna-XM_030265432.3.33
Cluster 429,rna-XM_046902056.1.63
Cluster 429,rna-NM_001013396.2.63
Cluster 429,rna-NM_001319304.2.63
Cluster 429,rna-XM_046902054.1.63
Cluster 429,rna-NM_204228.4.63
Cluster 429,rna-NM_001113709.2.233
Cluster 429,rna-NM_001319015.2.63
Cluster 430,rna-XM_030267012.3.5
Cluster 431,rna-XM_046907299.1.4
Cluster 432,rna-XM_046902785.1.27
Cluster 433,rna-XM_004946539.4.18
Cluster 434,rna-XM_040649969.1.63
Cluster 435,rna-XM_040657094.1.422
Cluster 436,rna-XM_030290314.3.42
Cluster 437,rna-XM_015295778.4.36
Cluster 438,rna-NM_001001302.2.404
Cluster 439,rna-XM_004944664.5.13
Cluster 440,rna-NM_001031276.2.10
Cluster 441,rna-XM_012572819.4.2
Cluster 442,rna-XM_015294410.4.15
Cluster 443,rna-XM_015284344.4.20
Cluster 444,rna-XM_046904548.1.70
Cluster 445,rna-NM_001389377.2.8
Cluster 446,rna-XM_046941796.1.5
Cluster 447,rna-XM_041720732.1.90
Cluster 448,rna-XM_040697789.2.3
Cluster 449,rna-XM_030276610.3.8
Cluster 450,rna-XM_004941584.5.5
Cluster 451,rna-XM_421694.8.9
Cluster 452,rna-XM_040651977.2.121
Cluster 453,rna-XM_015287153.4.47
Cluster 454,rna-XM_015282444.4.4
Cluster 455,rna-XM_025141346.3.17
Cluster 456,rna-XM_030279615.3.5
Cluster 457,rna-XM_425624.8.2
Cluster 458,rna-XM_030275955.3.8
Cluster 459,rna-XM_015286380.4.5
Cluster 460,rna-XM_030263234.3.4
Cluster 461,rna-XM_414370.8.13
Cluster 462,rna-XM_004936853.5.10
Cluster 463,rna-XM_030291772.3.44
Cluster 464,rna-XM_040651332.2.49
Cluster 465,rna-XM_041718497.1.20
Cluster 466,rna-XM_040676790.2.1
Cluster 467,rna-XM_004945379.5.15
Cluster 468,rna-XM_015292247.4.14
Cluster 469,rna-XM_041717760.1.9
Cluster 470,rna-XM_030277289.3.11
Cluster 471,rna-XM_015293448.4.42
Cluster 472,rna-NM_001012694.3.11
Cluster 473,rna-XM_046910578.1.26
Cluster 474,rna-XM_030289236.3.64
Cluster 475,rna-XM_030274867.3.6
Cluster 476,rna-XM_030270813.3.3
Cluster 477,rna-XM_046938649.1.73
Cluster 478,rna-XM_030271004.3.10
Cluster 479,rna-XM_040701785.2.53
Cluster 480,rna-XM_004947557.5.58
Cluster 481,rna-XM_030275483.3.6
Cluster 482,rna-XM_012578081.4.40
Cluster 483,rna-XM_030266656.3.1
Cluster 484,rna-XM_040703967.2.35
Cluster 485,rna-XM_015289667.4.8
Cluster 486,rna-XM_015280354.4.64
Cluster 487,rna-XM_030287199.3.29
Cluster 488,rna-XM_041712617.1.117
Cluster 489,rna-XM_030257009.3.37
Cluster 490,rna-XM_416046.8.4
Cluster 491,rna-XM_015294689.4.15
Cluster 492,rna-XM_032746681.2.1
Cluster 493,rna-XM_417481.8.27
Cluster 494,rna-XM_030278257.3.25
Cluster 495,rna-XM_030279271.3.9
Cluster 496,rna-XM_015297265.4.126
Cluster 497,rna-XM_030257933.3.4
Cluster 498,rna-XM_040705838.2.120
Cluster 499,rna-XM_040695663.2.1
Cluster 500,rna-XM_030263758.3.4
Cluster 501,rna-NM_001389451.2.29
Cluster 502,rna-XM_041711111.1.86
Cluster 503,rna-XM_046904370.1.85
Cluster 504,rna-XM_030277117.3.11
Cluster 505,rna-XM_040691065.2.1
Cluster 506,rna-XM_030264297.3.1
Cluster 507,rna-XM_032751688.2.61
Cluster 508,rna-XM_040672252.2.4
Cluster 509,rna-XM_041718381.1.19
Cluster 510,rna-XM_030292034.3.44
Cluster 511,rna-XM_015288828.4.9
Cluster 512,rna-XM_015288728.4.9
Cluster 513,rna-XM_040696990.2.80
Cluster 514,rna-XM_041715787.1.3
Cluster 515,rna-XM_032744557.2.7
Cluster 516,rna-XM_040706339.2.14
Cluster 517,rna-XM_425184.8.37
Cluster 518,rna-XM_041719684.1.24
Cluster 519,rna-XM_046925820.1.1
Cluster 520,rna-XM_015278524.4.30
Cluster 521,rna-XM_015294446.4.15
Cluster 522,rna-XM_030269354.3.5
Cluster 523,rna-XM_004940298.5.3
Cluster 524,rna-XM_418337.8.1
Cluster 525,rna-XM_040701758.2.14801
Cluster 526,rna-XM_040697732.2.3
Cluster 527,rna-XM_046905584.1.123
Cluster 528,rna-XM_030273387.3.6
Cluster 529,rna-XM_046942875.1.9
Cluster 530,rna-XM_040698504.2.3
Cluster 531,rna-XM_040660047.2.194
Cluster 532,rna-XM_040698004.2.3
Cluster 533,rna-XM_030256330.3.63
Cluster 534,rna-XM_015292011.4.14
Cluster 535,rna-XM_015287098.4.5
Cluster 536,rna-XM_015291762.4.12
Cluster 537,rna-XM_012573428.4.3
Cluster 538,rna-XM_046905239.1.212
Cluster 539,rna-XM_015293628.4.60
Cluster 540,rna-XM_041711553.1.75
Cluster 541,rna-XM_030277315.3.11
Cluster 542,rna-XM_040655530.2.6
Cluster 543,rna-XM_041720275.1.18
Cluster 544,rna-XM_030276054.3.8
Cluster 545,rna-XM_015285447.4.7
Cluster 546,rna-XM_015299745.4.70
Cluster 547,rna-XM_040706168.2.31
Cluster 548,rna-XM_030266050.3.1
Cluster 549,rna-XM_417388.8.38
Cluster 550,rna-XM_030268217.3.2
Cluster 551,rna-XM_030283030.3.13
Cluster 552,rna-NM_001199690.3.5
Cluster 553,rna-NM_001396477.2.4
Cluster 554,rna-XM_004940348.5.3
Cluster 555,rna-XM_030270505.3.3
Cluster 556,rna-XM_004938691.3.2
Cluster 557,rna-XM_015276961.4.12
Cluster 558,rna-XM_004943830.5.14
Cluster 559,rna-XM_030288641.3.18
Cluster 560,rna-XM_030265610.3.33
Cluster 561,rna-XM_030270983.3.3
Cluster 562,rna-XM_030278606.3.9
Cluster 563,rna-NM_001305161.3.36
Cluster 564,rna-XM_025146057.3.2
Cluster 565,rna-XM_041716562.1.6
Cluster 566,rna-XM_025146614.3.2
Cluster 567,rna-XM_414712.7.15
Cluster 568,rna-XM_025153769.3.12
Cluster 569,rna-XM_030276704.3.5
Cluster 570,rna-XM_429157.8.6
Cluster 571,rna-XM_046944160.1.8
Cluster 572,rna-XM_030284976.3.16
Cluster 573,rna-XM_015279484.4.17
Cluster 574,rna-XM_030270888.3.3
Cluster 575,rna-XM_030268281.3.2
Cluster 576,rna-XM_041715322.1.23
Cluster 577,rna-XM_004935342.5.3
Cluster 578,rna-XM_004942086.5.9
Cluster 579,rna-XM_015285006.4.40
Cluster 580,rna-XM_030275032.3.6
Cluster 581,rna-XM_030274685.3.6
Cluster 582,rna-XM_030278345.3.11
Cluster 583,rna-XM_041720343.1.54
Cluster 584,rna-XM_015288783.3.9
Cluster 585,rna-XM_046900648.1.68
Cluster 586,rna-XM_015291529.4.12
Cluster 587,rna-XM_015294040.4.37
Cluster 588,rna-NM_001398307.1.10
Cluster 589,rna-XM_015280329.4.64
Cluster 590,rna-XM_041715694.1.3
Cluster 591,rna-XM_015299864.4.86
Cluster 592,rna-XM_015291968.4.14
Cluster 593,rna-XM_003641526.6.9
Cluster 594,rna-XM_046900771.1.15
Cluster 595,rna-XM_040651213.2.49
Cluster 596,rna-XM_030263701.3.30
Cluster 597,rna-XM_040655648.2.6
Cluster 598,rna-XM_030287331.3.96
Cluster 599,rna-XM_025148727.3.23
Cluster 600,rna-XM_040703816.2.8
Cluster 601,rna-XM_015296076.4.18
Cluster 602,rna-XM_041718165.1.5
Cluster 603,rna-XM_030279834.3.12
Cluster 604,rna-XM_030258790.3.4
Cluster 605,rna-XM_040698385.2.23
Cluster 606,rna-XM_040647946.2.22
Cluster 607,rna-XM_030279195.3.5
Cluster 608,rna-XM_041714381.1.1
Cluster 609,rna-XM_003642978.6.6
Cluster 610,rna-XM_015277855.4.2
Cluster 611,rna-XM_041715577.1.3
Cluster 612,rna-XM_030291176.3.15
Cluster 613,rna-XM_041716596.1.6
Cluster 614,rna-XM_015275695.4.50
Cluster 615,rna-XM_032749175.2.8
Cluster 616,rna-XM_040700004.2.61
Cluster 617,rna-XM_032747270.2.2
Cluster 618,rna-XM_040646113.2.42
Cluster 619,rna-XM_004938891.5.2
Cluster 620,rna-XM_040701355.2.5
Cluster 621,rna-XM_004945394.5.15
Cluster 622,rna-XM_015278603.4.33
Cluster 623,rna-XM_015284772.4.3
Cluster 624,rna-XM_040698169.2.55
Cluster 625,rna-XM_015290844.4.10
Cluster 626,rna-XM_004937924.5.26
Cluster 627,rna-XM_032746851.2.14
Cluster 628,rna-XM_015283649.4.3
Cluster 629,rna-XM_015278607.4.33
Cluster 630,rna-XM_046942106.1.5
Cluster 631,rna-XM_040702478.2.2
Cluster 632,rna-XM_030288157.3.27
Cluster 633,rna-XM_030258004.3.7
Cluster 634,rna-XM_041711673.1.166
Cluster 635,rna-XM_025153677.3.12
Cluster 636,rna-XM_415405.8.17
Cluster 637,rna-XM_003640674.6.1
Cluster 638,rna-XM_041720578.1.47
Cluster 639,rna-XM_030276357.3.8
Cluster 640,rna-XM_015281884.4.1
Cluster 641,rna-XM_041717816.1.9
Cluster 642,rna-XM_015283969.4.39
Cluster 643,rna-XM_002194128.6.4
Cluster 644,rna-XM_015276989.4.12
Cluster 645,rna-NM_001162399.4.2
Cluster 646,rna-NM_001398250.1.39
Cluster 647,rna-XM_030275102.3.6
Cluster 648,rna-XM_015299494.4.57
Cluster 649,rna-XM_041714139.1.187
Cluster 650,rna-XM_015294081.4.19
Cluster 651,rna-XM_015277320.4.6
Cluster 652,rna-XM_041715185.1.2
Cluster 653,rna-XM_015296691.4.38
Cluster 654,rna-XM_030257294.3.4
Cluster 655,rna-XM_002199451.6.6
Cluster 656,rna-XM_015279943.4.28
Cluster 657,rna-XM_040699009.2.7
Cluster 658,rna-XM_030291621.3.62
Cluster 659,rna-XM_046943915.1.8
Cluster 660,rna-XM_040704897.2.10
